,title,release_year
0,eraserhead,1977
1,pink flamingos,1972
2,open water,2003
3,bambi,1942
4,night of the living dead,1968
5,mad max,1979
6,halloween,1978
7,american graffiti,1973
8,once,2006
9,snow white and the seven dwarfs,1937
10,rocky,1976
11,clerks,1994
12,gone with the wind,1939
13,saw,2004
14,e.t. the extra-terrestrial,1982
15,my big fat greek wedding,2002
16,jaws,1975
17,fireproof,2008
18,crocodile dundee,1986
19,insidious,2011
20,dr. no,1962
21,primer,2004
22,paranormal activity 2,2010
23,pi,1998
24,goldfinger,1964
25,chasing amy,1997
26,blazing saddles,1974
27,four weddings and a funeral,1994
28,paranormal activity 3,2011
29,psycho,1960
30,from russia with love,1963
31,annabelle,2014
32,saw ii,2005
33,tom jones,1963
34,one flew over the cuckoo's nest,1975
35,pretty woman,1990
36,police academy,1984
37,pinocchio,1940
38,porky's,1982
39,juno,2007
40,young frankenstein,1974
41,grease,1978
42,lost in translation,2003
43,paranormal activity 4,2012
44,pulp fiction,1994
45,death race 2000,1975
46,home alone,1990
47,sinister,2012
48,dope,2015
49,thunderball,1965
50,the fault in our stars,2014
51,black swan,2010
52,slumdog millionaire,2008
53,sling blade,1996
54,magic mike,2012
55,airplane!,1980
56,american beauty,1999
57,flashdance,1983
58,live and let die,1973
59,platoon,1986
60,ghost,1990
61,fatal attraction,1987
62,good will hunting,1997
63,swingers,1996
64,billy elliot,2000
65,bend it like beckham,2002
66,taxi driver,1976
67,american pie,1999
68,beverly hills cop,1984
69,back to the future,1985
70,home alone 2: lost in new york,1992
71,driving miss daisy,1989
72,dances with wolves,1990
73,beyond the valley of the dolls,1970
74,from here to eternity,1953
75,aladdin,1992
76,another earth,2011
77,mrs. doubtfire,1993
78,friday the 13th part 2,1981
79,butch cassidy and the sundance kid,1969
80,mary poppins,1964
81,hostel,2005
82,lovely & amazing,2001
83,the imitation game,2014
84,28 days later,2002
85,rain man,1988
86,saw iii,2006
87,diamonds are forever,1971
88,there's something about mary,1998
89,minions,2015
90,close encounters of the third kind,1977
91,crash,2004
92,beverly hills cop ii,1987
93,schindler's list,1993
94,jurassic park,1993
95,hellraiser,1987
96,twins,1988
97,dead poets society,1989
98,fifty shades of grey,2015
99,like crazy,2011
100,saw iv,2007
101,gremlins,1984
102,it happened one night,1934
103,leaving las vegas,1995
104,deadpool,2016
105,kindergarten cop,1990
106,transamerica,2005
107,the boy next door,2015
108,despicable me 2,2013
109,brokeback mountain,2005
110,on her majesty's secret service,1969
111,monty python and the holy grail,1975
112,little miss sunshine,2006
113,toy story,1995
114,midnight cowboy,1969
115,scream,1996
116,forrest gump,1994
117,reservoir dogs,1992
118,casablanca,1942
119,indiana jones and the temple of doom,1984
120,the purge: election year,2016
121,avatar,2009
122,you only live twice,1967
123,mamma mia!,2008
124,beasts of the southern wild,2012
125,speed,1994
126,the secret life of pets,2016
127,shakespeare in love,1998
128,the witch,2016
129,born on the fourth of july,1989
130,poltergeist,1982
131,unforgiven,1992
132,bridget jones's diary,2001
133,monster's ball,2001
134,boyhood,2014
135,cool runnings,1993
136,dallas buyers club,2013
137,ted,2012
138,high noon,1952
139,bad teacher,2011
140,chariots of fire,1981
141,garden state,2004
142,on the waterfront,1954
143,rosemary's baby,1968
144,insidious: chapter 3,2015
145,she's all that,1999
146,doctor zhivago,1965
147,jackass presents: bad grandpa,2013
148,jurassic world,2015
149,kissing jessica stein,2001
150,finding nemo,2003
151,pitch perfect 2,2015
152,aliens,1986
153,indiana jones and the last crusade,1989
154,ice age: dawn of the dinosaurs,2009
155,bronson,2009
156,silver linings playbook,2012
157,footloose,1984
158,day of the dead,1985
159,chronicle,2012
160,sliding doors,1998
161,buried,2010
162,american pie 2,2001
163,annie hall,1977
164,alien,1979
165,"good morning, vietnam",1987
166,step up,2006
167,austin powers: the spy who shagged me,1999
168,jaws 2,1978
169,easy a,2010
170,12 years a slave,2013
171,fiddler on the roof,1971
172,the hunger games,2012
173,bad moms,2016
174,lethal weapon 3,1992
175,mr. bean's holiday,2007
176,sleeper,1973
177,red dawn,1984
178,high anxiety,1977
179,white noise,2005
180,taken,2008
181,lights out,2016
182,boyz n the hood,1991
183,oculus,2014
184,harry potter and the chamber of secrets,2002
185,splash,1984
